"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"EBF1/2/3/4"	0.999	4.55017650762145	0.998	1	0.154
"KH2013:KH.C4.506_HMCN1"	0.997	3.15946392561904	0.994	1	0.785
"KH2013:KH.C11.139"	0.994	4.9194716369808	0.988	0.993	0.231
"KH2013:KH.L25.4"	0.994	4.65559484839324	0.988	0.993	0.062
"KH2013:KH.C2.994_RNF149"	0.009	-2.50672996945036	0.982	0.785	1
"DCDC2B"	0.989	4.12754281545718	0.978	0.986	0.154
"SLIT1/2/3"	0.012	-3.62564752159249	0.976	0.229	1
"KH2013:KH.C5.62_ODF3L2"	0.988	4.19261819023199	0.976	0.986	0.108
"KH2013:KH.C3.665_ZAN"	0.013	-3.61027732046874	0.974	0.465	0.985
"KH2013:KH.C4.547_BMP2/4"	0.014	-3.53988405278954	0.972	0.194	0.985
"KH2013:KH.S1269.1"	0.983	3.046282299282	0.966	0.993	0.292
"GATA4/5/6"	0.018	-3.49580041725483	0.964	0.229	0.985
"BDH1"	0.981	3.23699271542978	0.962	0.986	0.215
"KH2013:KH.C1.479_NEB"	0.02	-2.46864720579795	0.96	0.5	1
"KH2013:KH.C11.378_CLDN1/10/14/19/2/3/4/5/6/7/9"	0.02	-2.19682827281617	0.96	0.944	1
"NOVA1/2"	0.98	2.9400567459463	0.96	1	0.215
"SCP1"	0.978	4.53912243541018	0.956	0.958	0.046
"Ci-R1CiGC27a04"	0.029	-4.1885238886342	0.942	0.125	0.954
"KH2013:KH.C1.738_CG9550"	0.031	-2.10689353202763	0.938	0.84	0.985
"KH2013:KH.C8.892_TUB1/3"	0.967	2.79958114132467	0.934	0.993	0.508
"KH2013:KH.C7.205_ASB2"	0.037	-3.07581360294941	0.926	0.299	0.969
"NKX2-3"	0.037	-3.49855188331099	0.926	0.146	0.954
"QKI"	0.037	-2.15886110628869	0.926	0.771	0.985
"KH2013:KH.C5.522_SLC6A13"	0.962	3.94798541139322	0.924	0.931	0.092
"KH2013:KH.C1.953_CG32702"	0.039	-4.41586954713721	0.922	0.125	0.938
"NAV1"	0.04	-2.94883733187408	0.92	0.118	0.954
"UBE2QL1"	0.957	2.59110299202782	0.914	0.972	0.369
"KH2013:KH.C5.227_F56C4.4"	0.044	-2.31575331071796	0.912	0.979	1
"KH2013:KH.L18.10_THSD7A"	0.956	2.56893483204282	0.912	0.972	0.231
"KH2013:KH.C2.514_ENPP1/2/3"	0.047	-1.08350764832477	0.906	1	1
"MTDH"	0.047	-1.39516320574592	0.906	0.986	1
"BMP5/6/7"	0.049	-3.44687612152633	0.902	0.201	0.938
"SFRP1/5"	0.049	-3.88447822880115	0.902	0.076	0.923
"ELK1/3/4"	0.949	3.53929340856113	0.898	0.917	0.108
"PCBP3"	0.948	2.39251759539085	0.896	0.965	0.169
"KH2013:KH.C9.650_SULT1ST1/2/3/4"	0.055	-1.59481355534359	0.89	0.861	1
"LRP4/8"	0.056	-2.75923752560955	0.888	0.111	0.938
"NTN1/2/3/5"	0.058	-4.60269153387418	0.884	0.049	0.892
"SLC35G2/6"	0.942	4.20086939777988	0.884	0.903	0.108
"KH2013:KH.L154.26_CSMD2"	0.942	3.07773364559669	0.884	0.938	0.277
"TIMP1/2/3/4"	0.941	4.46138212725438	0.882	0.903	0.123
"MMP14/15/16/24"	0.94	2.20824742531843	0.88	0.979	0.308
"MYO10"	0.939	3.24084145703263	0.878	0.889	0.108
"PALLD"	0.937	2.70289840512762	0.874	0.951	0.2
"KH2013:KH.C10.203"	0.063	-3.29732425347078	0.874	0.153	0.923
"KH2013:KH.C3.191_WBSCR27"	0.065	-2.86697594088267	0.87	0.333	0.938
"KH2013:KH.C8.782_LPHN1/2/3"	0.934	2.13103683285738	0.868	0.986	0.554
"KH2013:KH.C6.201"	0.933	4.35797588912499	0.866	0.875	0.031
"KH2013:KH.C10.174"	0.067	-3.03793764727941	0.866	0.243	0.923
"KH2013:KH.C5.127_FMO1"	0.931	4.04713411391697	0.862	0.868	0.092
"MMP21"	0.07	-4.10337773970978	0.86	0.069	0.877
"KH2013:KH.C1.50_CHDH"	0.074	-1.61181771293736	0.852	0.896	0.969
"Ci-R1CiGC09b24;"	0.925	1.66191908621153	0.85	0.986	0.954
"C5ORF48"	0.075	-3.33046555235361	0.85	0.125	0.892
"KH2013:KH.C5.553_FMO1"	0.924	3.33890933807869	0.848	0.889	0.138
"FRAS1"	0.076	-2.99409833070997	0.848	0.076	0.831
"SH3BGR"	0.076	-2.3096919059277	0.848	0.375	0.969
"KH2013:KH.C8.146"	0.922	2.35523179721959	0.844	0.944	0.323
"HAND/2"	0.919	2.91773981917896	0.838	0.91	0.2
"KH2013:KH.C2.209_CALM1/3"	0.081	-2.19449359620018	0.838	0.5	0.969
"SI:CH211-151O1.2"	0.918	2.57885755875848	0.836	0.903	0.231
"ALPPL2"	0.083	-3.21802502580176	0.834	0.16	0.892
"COL13A1"	0.084	-3.97015568485826	0.832	0.062	0.846
"TNS1/3"	0.085	-1.97260373223786	0.83	0.576	0.985
"SCYL"	0.087	-2.17502989100176	0.826	0.403	0.938
"TIMP4"	0.913	2.58430989377764	0.826	0.91	0.277
"KH2013:KH.C4.391_FRMD4A"	0.088	-2.08440826744412	0.824	0.431	0.954
"CG15828"	0.089	-1.1181947284702	0.822	0.972	1
"UNC5A"	0.09	-1.50672411017946	0.82	0.757	1
