"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"Ci-R1CiGC27a04"	0.945	2.55014343987807	0.89	0.954	0.443
"KH2013:KH.C5.227_F56C4.4"	0.922	1.58309582999771	0.844	1	0.962
"MMP21"	0.92	3.61444817014129	0.84	0.877	0.203
"COL13A1"	0.891	2.81026315960116	0.782	0.846	0.19
"FRAS1"	0.887	2.28780757757422	0.774	0.831	0.19
"KH2013:KH.C4.547_BMP2/4"	0.887	1.34208097944946	0.774	0.985	0.722
"KH2013:KH.C1.638_C17ORF105"	0.139	-2.08041825545424	0.722	0.246	0.861
"KH2013:KH.C10.203"	0.857	1.75877981842891	0.714	0.923	0.418
"SMYD1"	0.848	1.75726327104364	0.696	0.923	0.506
"SMTN"	0.838	1.2386891248438	0.676	0.985	0.848
"BX005256.5"	0.837	1.66724274987661	0.674	0.938	0.519
"C5ORF48"	0.836	1.65599188030819	0.672	0.892	0.418
"SFRP1/5"	0.835	1.3695411089488	0.67	0.923	0.405
"NTN1/2/3/5"	0.829	1.38331355665466	0.658	0.892	0.38
"KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8"	0.827	2.50788960197772	0.654	0.708	0.089
"LAMA1/2"	0.825	1.62837377144711	0.65	0.738	0.165
"ISL1/2"	0.819	1.54975989458071	0.638	0.846	0.342
"FOXP1/2/4"	0.814	2.02266701128654	0.628	0.769	0.203
"KH2013:KH.C1.953_CG32702"	0.807	1.21156036199153	0.614	0.938	0.646
"KH2013:KH.C12.244"	0.801	1.64134888362344	0.602	0.785	0.266
"KH2013:KH.C3.191_WBSCR27"	0.796	1.21123868147903	0.592	0.938	0.62
"KH2013:KH.C1.1161_CCH1"	0.795	2.2530706441604	0.59	0.662	0.127
"ODZ1/2/3/4"	0.792	1.02800049608682	0.584	0.908	0.582
"DACH1/2"	0.212	-1.96085546003454	0.576	0.292	0.734
"MATN1/3/4"	0.214	-3.20529730631714	0.572	0.138	0.633
"ERG5"	0.786	1.95004617836685	0.572	0.738	0.278
"PPAP2B"	0.216	-1.53695139952037	0.568	0.585	0.886
"MYLK2/3/4"	0.773	4.08076683717154	0.546	0.569	0.051
"KH2013:KH.S2435.1_ASB2"	0.772	1.23533610742177	0.544	0.754	0.304
"KH2013:KH.L96.80_SLC5A12/8"	0.756	2.1868355983306	0.512	0.646	0.241
"JAG1/2"	0.755	1.79992548549121	0.51	0.662	0.241
"DSEL"	0.755	1.32313069249034	0.51	0.8	0.443
"KH2013:KH.L18.101_MEGF6"	0.74	1.05345311021985	0.48	0.892	0.481
"PLEKHA4/5/6"	0.737	1.32562948772393	0.474	0.708	0.278
"WNT10A"	0.735	1.24199451370595	0.47	0.708	0.342
"KH2013:KH.L20.50"	0.731	1.79935809065537	0.462	0.569	0.114
"KH2013:KH.C10.566"	0.727	1.3612904026931	0.454	0.738	0.38
"KH2013:KH.C10.172"	0.276	-1.01810287359445	0.448	0.369	0.759
"KH2013:KH.C1.862"	0.721	1.41707546684084	0.442	0.585	0.165
"WNT9B"	0.721	1.2360362063622	0.442	0.738	0.354
"KH2013:KH.C5.356_F23F1.6"	0.719	1.15669880794748	0.438	0.785	0.468
"KH2013:KH.C9.417_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9"	0.716	2.25459039786536	0.432	0.508	0.101
"KH2013:KH.L106.3"	0.716	2.35784870603447	0.432	0.538	0.165
"KH2013:KH.C11.288_ITLN3"	0.705	1.15409272125736	0.41	0.692	0.316
"MYL10/2/5/7"	0.704	1.15803831744409	0.408	0.646	0.291
"KH2013:KH.C9.186_PLCD1/3/4"	0.703	1.25309328667982	0.406	0.585	0.19
"DAPK1/2/3"	0.702	2.21651442009347	0.404	0.508	0.152
"FSCN1/2"	0.697	1.29447588637379	0.394	0.631	0.354
"TIMP4"	0.305	-1.52548414811771	0.39	0.277	0.608
"DUSP1/2/4/5"	0.693	1.06532672480286	0.386	0.708	0.456
"SPINK1/2"	0.311	-1.2257286831802	0.378	0.215	0.57
"KH2013:KH.L154.26_CSMD2"	0.314	-1.96901005635645	0.372	0.277	0.557
"MIG3"	0.316	-1.05607829426055	0.368	0.231	0.57
"KANK1/2/3/4"	0.316	-1.1394404756862	0.368	0.262	0.595
"CISH"	0.682	1.1410237264116	0.364	0.723	0.481
"NVL"	0.32	-1.00993955220481	0.36	0.554	0.747
"KH2013:KH.L153.109"	0.32	-1.17024940604241	0.36	0.246	0.595
"C12ORF52"	0.321	-1.33213691997468	0.358	0.292	0.557
"ANXA13/7"	0.678	1.76812365396985	0.356	0.508	0.19
"KH2013:KH.L144.11"	0.672	1.21947491777264	0.344	0.585	0.266
"KH2013:KH.S1269.1"	0.328	-1.29568441276965	0.344	0.292	0.582
"KH2013:KH.S1140.1_GPM6B"	0.33	-1.05083507451471	0.34	0.415	0.671
"KH2013:KH.L47.10"	0.668	1.37179697555347	0.336	0.585	0.354
"KH2013:KH.C5.48"	0.663	1.01894763887947	0.326	0.723	0.608
"TBX1/10"	0.339	-1.13479576399546	0.322	0.385	0.633
"GPR89B"	0.344	-1.01324933225196	0.312	0.231	0.519
"KH2013:KH.S404.8_HSP-16.1/11/2/41/48/49"	0.346	-1.20863292644704	0.308	0.523	0.747
"MXRA7"	0.347	-1.00608062084751	0.306	0.6	0.759
