"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"Ci-R1CiGC27a04"	0.055	-2.55014343987807	0.89	0.443	0.954
"KH2013:KH.C5.227_F56C4.4"	0.078	-1.58309582999771	0.844	0.962	1
"MMP21"	0.08	-3.61444817014129	0.84	0.203	0.877
"COL13A1"	0.109	-2.81026315960116	0.782	0.19	0.846
"FRAS1"	0.113	-2.28780757757422	0.774	0.19	0.831
"KH2013:KH.C4.547_BMP2/4"	0.113	-1.34208097944946	0.774	0.722	0.985
"KH2013:KH.C1.638_C17ORF105"	0.861	2.08041825545424	0.722	0.861	0.246
"KH2013:KH.C10.203"	0.143	-1.75877981842891	0.714	0.418	0.923
"SMYD1"	0.152	-1.75726327104364	0.696	0.506	0.923
"SMTN"	0.162	-1.2386891248438	0.676	0.848	0.985
"BX005256.5"	0.163	-1.66724274987661	0.674	0.519	0.938
"C5ORF48"	0.164	-1.65599188030819	0.672	0.418	0.892
"SFRP1/5"	0.165	-1.3695411089488	0.67	0.405	0.923
"NTN1/2/3/5"	0.171	-1.38331355665466	0.658	0.38	0.892
"KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8"	0.173	-2.50788960197772	0.654	0.089	0.708
"LAMA1/2"	0.175	-1.62837377144711	0.65	0.165	0.738
"ISL1/2"	0.181	-1.54975989458071	0.638	0.342	0.846
"FOXP1/2/4"	0.186	-2.02266701128654	0.628	0.203	0.769
"KH2013:KH.C1.953_CG32702"	0.193	-1.21156036199153	0.614	0.646	0.938
"KH2013:KH.C12.244"	0.199	-1.64134888362344	0.602	0.266	0.785
"KH2013:KH.C3.191_WBSCR27"	0.204	-1.21123868147903	0.592	0.62	0.938
"KH2013:KH.C1.1161_CCH1"	0.205	-2.2530706441604	0.59	0.127	0.662
"ODZ1/2/3/4"	0.208	-1.02800049608682	0.584	0.582	0.908
"DACH1/2"	0.788	1.96085546003454	0.576	0.734	0.292
"ERG5"	0.214	-1.95004617836685	0.572	0.278	0.738
"MATN1/3/4"	0.786	3.20529730631714	0.572	0.633	0.138
"PPAP2B"	0.784	1.53695139952037	0.568	0.886	0.585
"MYLK2/3/4"	0.227	-4.08076683717154	0.546	0.051	0.569
"KH2013:KH.S2435.1_ASB2"	0.228	-1.23533610742177	0.544	0.304	0.754
"KH2013:KH.L96.80_SLC5A12/8"	0.244	-2.1868355983306	0.512	0.241	0.646
"JAG1/2"	0.245	-1.79992548549121	0.51	0.241	0.662
"DSEL"	0.245	-1.32313069249034	0.51	0.443	0.8
"KH2013:KH.L18.101_MEGF6"	0.26	-1.05345311021985	0.48	0.481	0.892
"PLEKHA4/5/6"	0.263	-1.32562948772393	0.474	0.278	0.708
"WNT10A"	0.265	-1.24199451370595	0.47	0.342	0.708
"KH2013:KH.L20.50"	0.269	-1.79935809065537	0.462	0.114	0.569
