"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"KH2013:KH.C11.139"	0.007	-4.45936915251037	0.986	0.222	0.993
"KH2013:KH.C4.506_HMCN1"	0.007	-2.63733213622084	0.986	0.833	1
"KH2013:KH.L25.4"	0.008	-4.12665972087144	0.984	0.097	0.993
"DCDC2B"	0.016	-3.52835801248546	0.968	0.208	0.986
"KH2013:KH.C5.62_ODF3L2"	0.018	-3.62411110523015	0.964	0.153	0.986
"KH2013:KH.C2.994_RNF149"	0.977	2.28507302027296	0.954	0.993	0.785
"UBE2QL1"	0.035	-2.91823014723238	0.93	0.333	0.972
"BDH1"	0.035	-2.63193225245438	0.93	0.292	0.986
"EBF1/2/3/4"	0.036	-2.498636142107	0.928	0.194	1
"SLIT1/2/3"	0.961	3.3585797787486	0.922	0.965	0.229
"NKX2-3"	0.959	3.26136188072121	0.918	0.958	0.146
"KH2013:KH.C5.522_SLC6A13"	0.045	-3.60096984434371	0.91	0.104	0.931
"KH2013:KH.C1.738_CG9550"	0.953	1.85823270596438	0.906	0.993	0.84
"KH2013:KH.L18.10_THSD7A"	0.048	-2.49741888275429	0.904	0.229	0.972
"KH2013:KH.S1269.1"	0.049	-2.14785530646706	0.902	0.451	0.993
"KH2013:KH.C3.665_ZAN"	0.951	3.36914858071972	0.902	0.951	0.465
"GATA4/5/6"	0.951	3.22416382143945	0.902	0.944	0.229
"SCP1"	0.05	-2.86263012237181	0.9	0.16	0.958
"KH2013:KH.C8.892_TUB1/3"	0.051	-2.41251134665747	0.898	0.562	0.993
"NOVA1/2"	0.052	-2.16802938133588	0.896	0.368	1
"MMP14/15/16/24"	0.055	-2.3104743045691	0.89	0.243	0.979
"SLC35G2/6"	0.059	-4.09118850771679	0.882	0.104	0.903
"MYO10"	0.065	-3.04963172212281	0.87	0.09	0.889
"QKI"	0.933	1.99277574739035	0.866	0.986	0.771
"KH2013:KH.C6.201"	0.072	-3.90263501715466	0.856	0.062	0.875
"KH2013:KH.C10.174"	0.927	2.97163782613456	0.854	0.917	0.243
"KH2013:KH.C2.514_ENPP1/2/3"	0.927	1.03061687163625	0.854	1	1
"SI:CH211-151O1.2"	0.074	-2.78569475073408	0.852	0.174	0.903
"Ci-R1CiGC09b24;"	0.074	-1.76294605757985	0.852	0.868	0.986
"KH2013:KH.C8.782_LPHN1/2/3"	0.074	-2.00429712899119	0.852	0.618	0.986
"RBFOX1/2/3"	0.075	-1.94038658188158	0.85	0.75	1
"ARHGAP22/24/25"	0.075	-3.04097795652713	0.85	0.146	0.896
"KH2013:KH.C5.553_FMO1"	0.082	-3.0472919059895	0.836	0.132	0.889
"FGF16/20/22/3/9"	0.083	-2.05394257127861	0.834	0.333	0.979
"LRP4/8"	0.915	2.5582662189519	0.83	0.889	0.111
"KH2013:KH.C8.146"	0.085	-2.2304329489946	0.83	0.375	0.944
"PALLD"	0.086	-2.2510923447638	0.828	0.215	0.951
